C,gamma,kernel,accuracy,recall,model_type,n_estimators,max_depth,learning_rate
1.112,3.334,poly,0.8311156601842374,0.7049608355091384,SVM,,,
1.112,4.445,sigmoid,0.5220061412487206,0.391644908616188,SVM,,,
1.112,4.445,poly,0.8311156601842374,0.7049608355091384,SVM,,,
1.112,5.556,sigmoid,0.5209825997952917,0.391644908616188,SVM,,,
1.112,5.556,poly,0.8311156601842374,0.7049608355091384,SVM,,,
1.112,6.667000000000001,sigmoid,0.5199590583418628,0.391644908616188,SVM,,,
1.112,6.667000000000001,poly,0.8311156601842374,0.7049608355091384,SVM,,,
1.112,7.778,sigmoid,0.5199590583418628,0.391644908616188,SVM,,,
1.112,7.778,poly,0.8311156601842374,0.7049608355091384,SVM,,,
1.112,8.889,sigmoid,0.5209825997952917,0.391644908616188,SVM,,,
1.112,8.889,poly,0.8311156601842374,0.7049608355091384,SVM,,,
1.112,10.0,sigmoid,0.5230296827021494,0.391644908616188,SVM,,,
1.112,10.0,poly,0.8311156601842374,0.7049608355091384,SVM,,,
2.223,0.001,sigmoid,0.7256908904810645,0.433420365535248,SVM,,,
2.223,0.001,poly,0.6601842374616171,0.1357702349869451,SVM,,,
2.223,1.112,sigmoid,0.526100307062436,0.3942558746736292,SVM,,,
2.223,1.112,poly,0.8311156601842374,0.7049608355091384,SVM,,,
2.223,2.223,sigmoid,0.5240532241555783,0.391644908616188,SVM,,,
2.223,2.223,poly,0.8311156601842374,0.7049608355091384,SVM,,,
2.223,3.334,sigmoid,0.5220061412487206,0.391644908616188,SVM,,,
2.223,3.334,poly,0.8311156601842374,0.7049608355091384,SVM,,,
2.223,4.445,sigmoid,0.5230296827021494,0.391644908616188,SVM,,,
2.223,4.445,poly,0.8311156601842374,0.7049608355091384,SVM,,,
2.223,5.556,sigmoid,0.5220061412487206,0.391644908616188,SVM,,,
2.223,5.556,poly,0.8311156601842374,0.7049608355091384,SVM,,,
2.223,6.667000000000001,sigmoid,0.5209825997952917,0.391644908616188,SVM,,,
2.223,6.667000000000001,poly,0.8311156601842374,0.7049608355091384,SVM,,,
2.223,7.778,sigmoid,0.5199590583418628,0.391644908616188,SVM,,,
2.223,7.778,poly,0.8311156601842374,0.7049608355091384,SVM,,,
2.223,8.889,sigmoid,0.5220061412487206,0.3942558746736292,SVM,,,
2.223,8.889,poly,0.8311156601842374,0.7049608355091384,SVM,,,
2.223,10.0,sigmoid,0.5220061412487206,0.3942558746736292,SVM,,,
2.223,10.0,poly,0.8311156601842374,0.7049608355091384,SVM,,,
3.334,0.001,sigmoid,0.7246673490276356,0.4386422976501306,SVM,,,
3.334,0.001,poly,0.6653019447287615,0.1488250652741514,SVM,,,
3.334,1.112,sigmoid,0.526100307062436,0.3942558746736292,SVM,,,
3.334,1.112,poly,0.8311156601842374,0.7049608355091384,SVM,,,
3.334,2.223,sigmoid,0.5230296827021494,0.3942558746736292,SVM,,,
3.334,2.223,poly,0.8311156601842374,0.7049608355091384,SVM,,,
3.334,3.334,sigmoid,0.5230296827021494,0.391644908616188,SVM,,,
3.334,3.334,poly,0.8311156601842374,0.7049608355091384,SVM,,,
3.334,4.445,sigmoid,0.5230296827021494,0.391644908616188,SVM,,,
3.334,4.445,poly,0.8311156601842374,0.7049608355091384,SVM,,,
3.334,5.556,sigmoid,0.5209825997952917,0.391644908616188,SVM,,,
3.334,5.556,poly,0.8311156601842374,0.7049608355091384,SVM,,,
3.334,6.667000000000001,sigmoid,0.5199590583418628,0.391644908616188,SVM,,,
3.334,6.667000000000001,poly,0.8311156601842374,0.7049608355091384,SVM,,,
3.334,7.778,sigmoid,0.5199590583418628,0.391644908616188,SVM,,,
3.334,7.778,poly,0.8311156601842374,0.7049608355091384,SVM,,,
3.334,8.889,sigmoid,0.5220061412487206,0.3942558746736292,SVM,,,
3.334,8.889,poly,0.8311156601842374,0.7049608355091384,SVM,,,
3.334,10.0,sigmoid,0.5220061412487206,0.3942558746736292,SVM,,,
3.334,10.0,poly,0.8311156601842374,0.7049608355091384,SVM,,,
4.445,0.001,sigmoid,0.7277379733879222,0.454308093994778,SVM,,,
4.445,0.001,poly,0.6704196519959058,0.1618798955613577,SVM,,,
4.445,1.112,sigmoid,0.526100307062436,0.3942558746736292,SVM,,,
4.445,1.112,poly,0.8311156601842374,0.7049608355091384,SVM,,,
4.445,2.223,sigmoid,0.5230296827021494,0.3942558746736292,SVM,,,
4.445,2.223,poly,0.8311156601842374,0.7049608355091384,SVM,,,
4.445,3.334,sigmoid,0.5230296827021494,0.391644908616188,SVM,,,
4.445,3.334,poly,0.8311156601842374,0.7049608355091384,SVM,,,
4.445,4.445,sigmoid,0.5230296827021494,0.391644908616188,SVM,,,
4.445,4.445,poly,0.8311156601842374,0.7049608355091384,SVM,,,
4.445,5.556,sigmoid,0.5209825997952917,0.391644908616188,SVM,,,
4.445,5.556,poly,0.8311156601842374,0.7049608355091384,SVM,,,
4.445,6.667000000000001,sigmoid,0.5199590583418628,0.391644908616188,SVM,,,
4.445,6.667000000000001,poly,0.8311156601842374,0.7049608355091384,SVM,,,
4.445,7.778,sigmoid,0.5199590583418628,0.391644908616188,SVM,,,
4.445,7.778,poly,0.8311156601842374,0.7049608355091384,SVM,,,
4.445,8.889,sigmoid,0.5220061412487206,0.3942558746736292,SVM,,,
4.445,8.889,poly,0.8311156601842374,0.7049608355091384,SVM,,,
4.445,10.0,sigmoid,0.5220061412487206,0.3942558746736292,SVM,,,
4.445,10.0,poly,0.8311156601842374,0.7049608355091384,SVM,,,
5.556,0.001,sigmoid,0.7256908904810645,0.4699738903394256,SVM,,,
5.556,0.001,poly,0.676560900716479,0.1775456919060052,SVM,,,
5.556,1.112,sigmoid,0.526100307062436,0.3942558746736292,SVM,,,
5.556,1.112,poly,0.8311156601842374,0.7049608355091384,SVM,,,
5.556,2.223,sigmoid,0.5230296827021494,0.3942558746736292,SVM,,,
5.556,2.223,poly,0.8311156601842374,0.7049608355091384,SVM,,,
5.556,3.334,sigmoid,0.5220061412487206,0.391644908616188,SVM,,,
5.556,3.334,poly,0.8311156601842374,0.7049608355091384,SVM,,,
5.556,4.445,sigmoid,0.5209825997952917,0.391644908616188,SVM,,,
5.556,4.445,poly,0.8311156601842374,0.7049608355091384,SVM,,,
5.556,5.556,sigmoid,0.5209825997952917,0.391644908616188,SVM,,,
5.556,5.556,poly,0.8311156601842374,0.7049608355091384,SVM,,,
5.556,6.667000000000001,sigmoid,0.5199590583418628,0.391644908616188,SVM,,,
5.556,6.667000000000001,poly,0.8311156601842374,0.7049608355091384,SVM,,,
5.556,7.778,sigmoid,0.5230296827021494,0.391644908616188,SVM,,,
5.556,7.778,poly,0.8311156601842374,0.7049608355091384,SVM,,,
5.556,8.889,sigmoid,0.5220061412487206,0.391644908616188,SVM,,,
5.556,8.889,poly,0.8311156601842374,0.7049608355091384,SVM,,,
5.556,10.0,sigmoid,0.5220061412487206,0.3942558746736292,SVM,,,
5.556,10.0,poly,0.8311156601842374,0.7049608355091384,SVM,,,
6.667000000000001,0.001,sigmoid,0.72978505629478,0.4856396866840731,SVM,,,
6.667000000000001,0.001,poly,0.6837256908904811,0.2036553524804177,SVM,,,
6.667000000000001,1.112,sigmoid,0.526100307062436,0.3942558746736292,SVM,,,
6.667000000000001,1.112,poly,0.8311156601842374,0.7049608355091384,SVM,,,
6.667000000000001,2.223,sigmoid,0.5240532241555783,0.391644908616188,SVM,,,
6.667000000000001,2.223,poly,0.8311156601842374,0.7049608355091384,SVM,,,
6.667000000000001,3.334,sigmoid,0.5220061412487206,0.391644908616188,SVM,,,
6.667000000000001,3.334,poly,0.8311156601842374,0.7049608355091384,SVM,,,
6.667000000000001,4.445,sigmoid,0.5209825997952917,0.391644908616188,SVM,,,
6.667000000000001,4.445,poly,0.8311156601842374,0.7049608355091384,SVM,,,
6.667000000000001,5.556,sigmoid,0.5209825997952917,0.391644908616188,SVM,,,
6.667000000000001,5.556,poly,0.8311156601842374,0.7049608355091384,SVM,,,
6.667000000000001,6.667000000000001,sigmoid,0.5230296827021494,0.391644908616188,SVM,,,
6.667000000000001,6.667000000000001,poly,0.8311156601842374,0.7049608355091384,SVM,,,
6.667000000000001,7.778,sigmoid,0.5230296827021494,0.391644908616188,SVM,,,
6.667000000000001,7.778,poly,0.8311156601842374,0.7049608355091384,SVM,,,
6.667000000000001,8.889,sigmoid,0.5220061412487206,0.391644908616188,SVM,,,
6.667000000000001,8.889,poly,0.8311156601842374,0.7049608355091384,SVM,,,
6.667000000000001,10.0,sigmoid,0.5220061412487206,0.391644908616188,SVM,,,
6.667000000000001,10.0,poly,0.8311156601842374,0.7049608355091384,SVM,,,
7.778,0.001,sigmoid,0.7195496417604913,0.4934725848563969,SVM,,,
7.778,0.001,poly,0.691914022517912,0.2297650130548303,SVM,,,
7.778,1.112,sigmoid,0.526100307062436,0.3942558746736292,SVM,,,
7.778,1.112,poly,0.8311156601842374,0.7049608355091384,SVM,,,
7.778,2.223,sigmoid,0.5240532241555783,0.391644908616188,SVM,,,
7.778,2.223,poly,0.8311156601842374,0.7049608355091384,SVM,,,
7.778,3.334,sigmoid,0.5220061412487206,0.391644908616188,SVM,,,
7.778,3.334,poly,0.8311156601842374,0.7049608355091384,SVM,,,
7.778,4.445,sigmoid,0.5209825997952917,0.391644908616188,SVM,,,
7.778,4.445,poly,0.8311156601842374,0.7049608355091384,SVM,,,
7.778,5.556,sigmoid,0.5209825997952917,0.391644908616188,SVM,,,
7.778,5.556,poly,0.8311156601842374,0.7049608355091384,SVM,,,
7.778,6.667000000000001,sigmoid,0.5230296827021494,0.391644908616188,SVM,,,
7.778,6.667000000000001,poly,0.8311156601842374,0.7049608355091384,SVM,,,
7.778,7.778,sigmoid,0.5230296827021494,0.391644908616188,SVM,,,
7.778,7.778,poly,0.8311156601842374,0.7049608355091384,SVM,,,
7.778,8.889,sigmoid,0.5220061412487206,0.391644908616188,SVM,,,
7.778,8.889,poly,0.8311156601842374,0.7049608355091384,SVM,,,
7.778,10.0,sigmoid,0.5220061412487206,0.3942558746736292,SVM,,,
7.778,10.0,poly,0.8311156601842374,0.7049608355091384,SVM,,,
8.889,0.001,sigmoid,0.7185261003070624,0.5091383812010444,SVM,,,
8.889,0.001,poly,0.691914022517912,0.2323759791122715,SVM,,,
8.889,1.112,sigmoid,0.526100307062436,0.3942558746736292,SVM,,,
8.889,1.112,poly,0.8311156601842374,0.7049608355091384,SVM,,,
8.889,2.223,sigmoid,0.5240532241555783,0.391644908616188,SVM,,,
8.889,2.223,poly,0.8311156601842374,0.7049608355091384,SVM,,,
8.889,3.334,sigmoid,0.5220061412487206,0.391644908616188,SVM,,,
8.889,3.334,poly,0.8311156601842374,0.7049608355091384,SVM,,,
8.889,4.445,sigmoid,0.5209825997952917,0.391644908616188,SVM,,,
8.889,4.445,poly,0.8311156601842374,0.7049608355091384,SVM,,,
8.889,5.556,sigmoid,0.5209825997952917,0.391644908616188,SVM,,,
8.889,5.556,poly,0.8311156601842374,0.7049608355091384,SVM,,,
8.889,6.667000000000001,sigmoid,0.5230296827021494,0.391644908616188,SVM,,,
8.889,6.667000000000001,poly,0.8311156601842374,0.7049608355091384,SVM,,,
8.889,7.778,sigmoid,0.5230296827021494,0.391644908616188,SVM,,,
8.889,7.778,poly,0.8311156601842374,0.7049608355091384,SVM,,,
8.889,8.889,sigmoid,0.5220061412487206,0.391644908616188,SVM,,,
8.889,8.889,poly,0.8311156601842374,0.7049608355091384,SVM,,,
8.889,10.0,sigmoid,0.5220061412487206,0.3942558746736292,SVM,,,
8.889,10.0,poly,0.8311156601842374,0.7049608355091384,SVM,,,
10.0,0.001,sigmoid,0.7154554759467758,0.5117493472584856,SVM,,,
10.0,0.001,poly,0.6960081883316275,0.2428198433420365,SVM,,,
10.0,1.112,sigmoid,0.526100307062436,0.3942558746736292,SVM,,,
10.0,1.112,poly,0.8311156601842374,0.7049608355091384,SVM,,,
10.0,2.223,sigmoid,0.5240532241555783,0.391644908616188,SVM,,,
10.0,2.223,poly,0.8311156601842374,0.7049608355091384,SVM,,,
10.0,3.334,sigmoid,0.5230296827021494,0.391644908616188,SVM,,,
10.0,3.334,poly,0.8311156601842374,0.7049608355091384,SVM,,,
10.0,4.445,sigmoid,0.5209825997952917,0.391644908616188,SVM,,,
10.0,4.445,poly,0.8311156601842374,0.7049608355091384,SVM,,,
10.0,5.556,sigmoid,0.5230296827021494,0.391644908616188,SVM,,,
10.0,5.556,poly,0.8311156601842374,0.7049608355091384,SVM,,,
10.0,6.667000000000001,sigmoid,0.5230296827021494,0.391644908616188,SVM,,,
10.0,6.667000000000001,poly,0.8311156601842374,0.7049608355091384,SVM,,,
10.0,7.778,sigmoid,0.5230296827021494,0.391644908616188,SVM,,,
10.0,7.778,poly,0.8311156601842374,0.7049608355091384,SVM,,,
10.0,8.889,sigmoid,0.5220061412487206,0.391644908616188,SVM,,,
10.0,8.889,poly,0.8311156601842374,0.7049608355091384,SVM,,,
10.0,10.0,sigmoid,0.5220061412487206,0.391644908616188,SVM,,,
10.0,10.0,poly,0.8311156601842374,0.7049608355091384,SVM,,,
,,,0.8229273285568065,0.6057441253263708,RF,100.0,,
,,,0.81985670419652,0.6005221932114883,RF,200.0,,
,,,0.8157625383828045,0.5900783289817232,RF,300.0,,
,,,0.8178096212896623,0.6005221932114883,RF,400.0,,
,,,0.8219037871033776,0.6031331592689295,RF,500.0,,
,,,0.8167860798362334,0.6031331592689295,RF,600.0,,
,,,0.8208802456499488,0.6057441253263708,RF,700.0,,
,,,0.8208802456499488,0.6057441253263708,RF,800.0,,
,,,0.8188331627430911,0.6031331592689295,RF,900.0,,
,,,0.8178096212896623,0.597911227154047,RF,1000.0,,
,,,0.8188331627430911,0.6031331592689295,RF,1100.0,,
,,,0.8219037871033776,0.608355091383812,RF,1200.0,,
,,,0.8178096212896623,0.6057441253263708,RF,1300.0,,
,,,0.8188331627430911,0.608355091383812,RF,1400.0,,
,,,0.8157625383828045,0.6057441253263708,RF,1500.0,,
,,,0.8147389969293757,0.6057441253263708,RF,1600.0,,
,,,0.8157625383828045,0.608355091383812,RF,1700.0,,
,,,0.8157625383828045,0.608355091383812,RF,1800.0,,
,,,0.8157625383828045,0.608355091383812,RF,1900.0,,
,,,0.8147389969293757,0.6057441253263708,RF,2000.0,,
,,,0.8157625383828045,0.6057441253263708,RF,2100.0,,
,,,0.8147389969293757,0.6057441253263708,RF,2200.0,,
,,,0.8157625383828045,0.608355091383812,RF,2300.0,,
,,,0.8137154554759468,0.6057441253263708,RF,2400.0,,
,,,0.8157625383828045,0.608355091383812,RF,2500.0,,
,,,0.8147389969293757,0.608355091383812,RF,2600.0,,
,,,0.8137154554759468,0.6057441253263708,RF,2700.0,,
,,,0.8137154554759468,0.6057441253263708,RF,2800.0,,
,,,0.8137154554759468,0.6031331592689295,RF,2900.0,,
,,,0.8147389969293757,0.6031331592689295,RF,3000.0,,
,,,0.8167860798362334,0.6057441253263708,RF,3100.0,,
,,,0.7676560900716479,0.4595300261096606,RF,100.0,10.0,
,,,0.7666325486182191,0.4621409921671018,RF,200.0,10.0,
,,,0.7666325486182191,0.4673629242819843,RF,300.0,10.0,
,,,0.7666325486182191,0.464751958224543,RF,400.0,10.0,
,,,0.7656090071647902,0.4595300261096606,RF,500.0,10.0,
,,,0.7645854657113613,0.4569190600522193,RF,600.0,10.0,
,,,0.7666325486182191,0.4621409921671018,RF,700.0,10.0,
,,,0.7676560900716479,0.4621409921671018,RF,800.0,10.0,
,,,0.7697031729785057,0.4673629242819843,RF,900.0,10.0,
,,,0.7697031729785057,0.4699738903394256,RF,1000.0,10.0,
