eval_id,algorithm,accuracy,abnormal_recall,false_negative_rate,f1_score,train_time,test_time,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_samples_split,min_samples_leaf,C,kernel,gamma
78,svm,0.5220061412487206,0.35509138381201044,0.6449086161879896,0.5185852259462757,20.844851970672607,3.3257737159729004,,,,,,,,33.6775353275872,sigmoid,0.0996138102511
79,rf,0.8157625383828045,0.5900783289817232,0.40992167101827676,0.8055683348235602,10.877182006835938,0.07886099815368652,399.0,43.0,,,,12.0,4.0,,,
80,xgb,0.8689866939611054,0.7519582245430809,0.24804177545691905,0.8664667721224528,18.181753635406494,0.059268951416015625,164.0,11.0,0.0758509371618,0.6592681922019,0.8977871365845,,,,,
81,xgb,0.8638689866939611,0.7232375979112271,0.27676240208877284,0.8602859701413861,51.428651332855225,0.09136581420898438,428.0,13.0,0.0185780692458,0.6672633778304,0.7430543620139,,,,,
82,rf,0.8096212896622313,0.5744125326370757,0.4255874673629243,0.7983679578533689,7.194907903671265,0.04335951805114746,197.0,34.0,,,,15.0,7.0,,,
83,svm,0.8485158648925282,0.7154046997389034,0.2845953002610966,0.8451127106685684,21.55134868621826,6.879608631134033,,,,,,,,0.5720252083801,rbf,0.0111632057943
84,xgb,0.872057318321392,0.7545691906005222,0.2454308093994778,0.869546045324272,27.07919979095459,0.0663003921508789,231.0,12.0,0.040926081257,0.7157434880733,0.8305061023682,,,,,
85,rf,0.7656090071647902,0.45430809399477806,0.5456919060052219,0.7433065373262546,4.708030939102173,0.027881860733032227,269.0,9.0,,,,16.0,9.0,,,
86,svm,0.8689866939611054,0.8120104438642297,0.18798955613577023,0.8684597390025969,27.60781502723694,7.805696964263916,,,,,,,,95.9196243397748,rbf,0.0166989451831
87,rf,0.8116683725690891,0.5822454308093995,0.4177545691906005,0.8010131357186125,7.815142869949341,0.06118273735046387,300.0,27.0,,,,9.0,5.0,,,
88,xgb,0.849539406345957,0.6919060052219321,0.30809399477806787,0.8448926011484877,19.16718316078186,0.05393791198730469,117.0,14.0,0.0299443284935,0.8179909288883,0.6883123796433,,,,,
89,xgb,0.8700102354145343,0.7389033942558747,0.26109660574412535,0.8669263229931802,22.692803382873535,0.04439401626586914,189.0,12.0,0.0512323184599,0.8421916730702,0.8597959276289,,,,,
90,svm,0.5179119754350051,0.35509138381201044,0.6449086161879896,0.5150283617366515,17.911092519760132,3.241478443145752,,,,,,,,22.6323760552021,sigmoid,0.4812861862115
91,svm,0.7041965199590583,0.25326370757180156,0.7467362924281984,0.6459919801301174,21.61121106147766,4.8755202293396,,,,,,,,0.1230440194661,poly,0.004152632249
92,rf,0.8096212896622313,0.577023498694517,0.42297650130548303,0.7986104680646778,10.259904384613037,0.0795893669128418,409.0,29.0,,,,11.0,6.0,,,
93,rf,0.8188331627430911,0.5900783289817232,0.40992167101827676,0.8084695305829562,2.0738017559051514,0.015256404876708984,81.0,22.0,,,,8.0,4.0,,,
94,svm,0.7328556806550666,0.3394255874673629,0.660574412532637,0.6928802678703017,20.521632432937622,4.655280113220215,,,,,,,,14.9131528065956,poly,0.0011752765106
95,rf,0.7993858751279427,0.5509138381201044,0.4490861618798956,0.7864759792852808,10.242707967758179,0.11929440498352051,450.0,15.0,,,,19.0,9.0,,,
96,xgb,0.8526100307062436,0.6945169712793734,0.30548302872062666,0.8479883559044454,59.410741567611694,0.08088302612304688,387.0,14.0,0.0109624447995,0.6930626813322,0.9083002451807,,,,,
97,xgb,0.842374616171955,0.6814621409921671,0.3185378590078329,0.8374319917311431,12.115078210830688,0.04527401924133301,271.0,5.0,0.0218004554783,0.7726553793997,0.8405991770327,,,,,
98,rf,0.8085977482088025,0.5718015665796344,0.4281984334203655,0.7971609667961305,6.46129584312439,0.07925558090209961,265.0,41.0,,,,7.0,8.0,,,
